Age,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
.5 to 13 years,546737,90984,835669,353253,4502359,637244,364389,102442,2130473,1267502,151718,228408,1412408,789257,367273,356587,503502,547589,125177,672632,672755,1072212,658662,355233,691473,116509,239532,353022,127906,971762,244425,1995227,1161687,90081,1293184,484698,442452,1323996,100861,567251,109773,759037,3747627,473803,57451,935080,844269,182797,640298,68951
.14 to 17 years,247212,37919,374779,158438,2008566,290074,181341,46411,959714,579813,62931,103593,658533,360377,163932,158332,226759,238572,60128,300118,322683,505279,292873,159872,311032,50923,105662,154042,63726,452126,110427,906071,529258,35989,594007,212007,196299,612693,49113,251468,46161,342409,1661292,209578,27511,420291,362316,83745,295803,29852
.18 to 64 years,2965042,459974,4329848,1793767,24779467,3656805,2207603,581286,12750471,6596588,847556,1048194,7810714,4078502,1875275,1737577,2714238,2820142,810105,3751597,4370371,6077523,3416093,1790873,3704806,633753,1145876,1891545,850594,5468077,1243385,12129116,6436275,462046,7064761,2369601,2585095,7774014,667820,3100508,515687,4175730,17861842,1908902,384945,5315765,4742109,1065569,3538594,345846
.18 to 24 years,450224,68152,693844,279060,3678035,526217,342073,82494,1742768,1015188,118874,164406,1157411,659745,313705,294160,413954,419043,106932,526149,690721,945523,498118,283421,561504,97764,189298,250220,123691,753634,195875,1762544,990587,82822,1060311,380905,363022,1142159,109551,467399,82396,612440,2813300,362079,65840,798197,658508,153786,546070,52521
.25 to 44 years,1240535,213353,1903120,767131,11335052,1711425,875170,242181,5399953,2874215,381798,463662,3395231,1719646,783365,743951,1138333,1248081,316883,1611462,1842827,2477786,1488193,759501,1579626,268181,498477,863621,329316,2289971,538933,5297612,2719496,207147,2952186,1041466,1172996,3222875,273548,1303358,220928,1797314,8219202,915259,145675,2302877,2200216,427806,1454297,150718
.45 to 64 years,1274283,178469,1732884,747576,9766380,1419163,990360,256611,5607750,2707185,346884,420126,3258072,1699111,778205,699466,1161951,1153018,386290,1613986,1836823,2654214,1429782,747951,1563676,267808,458101,777704,397587,2424472,508577,5068960,2726192,172077,3052264,947230,1049077,3408980,284721,1329751,212363,1765976,6829340,631564,173430,2214691,1883385,483977,1538227,142607
.65 years and over,849837,91588,1308633,523882,5838115,842412,630244,188906,4497337,1516954,268448,290670,2043232,1085743,552954,475487,750564,741022,285265,959396,1169332,1765401,920382,486693,1062037,206437,312458,495972,253864,1475535,377606,3296146,1751094,119845,2046320,635132,766080,2393362,187046,937023,151871,1143393,3734229,365872,125039,1358906,1209723,367011,1017243,99179
10 years and over,4310860,628869,6395237,2636593,34649657,5079752,3188839,862733,19171645,9275270,1243943,1547548,11155160,5881937,2759278,2531620,3918646,4046108,1213251,5313188,6166691,8834090,4925164,2603294,5390923,943746,1671171,2701531,1227352,7835242,1843064,17208669,9249448,656930,10289805,3433531,3747474,11378012,949941,4549474,762558,6007190,24941412,2699179,563848,7515156,6689640,1598842,5144698,506532
.16 years and over,3938622,570315,5823442,2396529,31616808,4642871,2929347,793416,17724748,8402220,1147014,1389772,10183273,5344273,2509853,2292050,3577654,3679746,1125690,4860644,5703431,8096917,4480935,2356806,4921814,865511,1510676,2463842,1136746,7169881,1676163,15881407,8451202,599422,9409089,3110214,3448892,10475007,879700,4162280,689981,5490156,22421178,2378357,523912,6884232,6131668,1474615,4703402,459639
.18 years and over,3814879,551562,5638481,2317649,30617582,4499217,2837847,770192,17247808,8113542,1116004,1338864,9853946,5164245,2428229,2213064,3464802,3561164,1095370,4710993,5539703,7842924,4336475,2277566,4766843,840190,1458334,2387517,1104458,6943612,1620991,15425262,8187369,581891,9111081,3004733,3351175,10167376,854866,4037531,667558,5319123,21596071,2274774,509984,6674671,5951832,1432580,4555837,445025
.15 to 44 years,1876242,309746,2876667,1164669,16516025,2454638,1353973,359553,7860511,4323715,547735,705281,5047838,2650044,1219780,1156764,1722131,1845349,469020,2362492,2777951,3804111,2205253,1162368,2374095,404072,766673,1228839,501190,3383526,817392,7742858,4106556,316544,4459409,1581028,1683233,4826083,420205,1958760,337592,2666519,12274719,1433758,232321,3416324,3129538,644662,2222437,225308
